Slug	Name	Dimension	Granularity	Function_name	Formalization_latex	Formalization_fp	Description_fp
labor-cost-activity-granularity-c-a	Labor Cost (activity granularity)	C	A	"\(\mathit{LC}\mathit{^{\times}}(a)\) 
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\sum _{i \in \mathit{inst}(a)} \mathit{LC}\mathit{^{\times}}(i)\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{LC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{LC}\mathit{^{sum}}$."	\(\sum _{i \in \mathit{inst}(a)} \mathit{LC}(i)\)	"\(\mathit{inst}(a)\) returns the set of all instances of activity \(a\).
\newline \(\mathit{LC}(i)\) returns the labor cost of activity instance \(i\). \\"
labor-cost-case-granularity-c-c	Labor Cost (case granularity)	C	C	"\(\mathit{LC}\mathit{^{\times}}(c)\) 
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\sum _{i \in \mathit{inst}(c)} \mathit{LC}\mathit{^{\times}}(i)\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{LC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{LC}\mathit{^{sum}}$."	\(\sum _{i \in \mathit{inst}(c)} \mathit{LC}(i)\)	"\(\mathit{inst}(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{LC}(i)\) returns the labor cost of activity instance \(i\). \\"
labor-cost-group-of-cases-granularity-c-g	Labor Cost (group of cases granularity)	C	G	"\(\mathit{LC}\mathit{^{\times}}(g)\) 
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\sum _{c \in g} \mathit{LC}\mathit{^{\times}}(c)\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{LC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{LC}\mathit{^{sum}}$."	\(\sum _{c \in g} \mathit{LC}(c)\)	\(\mathit{LC}(c)\) returns the labor cost for case \(c\). \\
labor-cost-and-total-cost-ratio-activity-granularity-c-a	Labor Cost and Total Cost Ratio (activity granularity)	C	A	"\(\mathit{LCTCR}\mathit{^{\times}}(a)\) 
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{LC}\mathit{^{\times}}(a)}{\mathit{TC}\mathit{^{\times}}(a)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{LC}\mathit{^{sgl}}$ and $\mathit{TC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{LC}\mathit{^{sum}}$ and $\mathit{TC}\mathit{^{sum}}$."	\(\frac{\mathit{LC}(a)}{\mathit{TC}(a)}\)	"\(\mathit{LC}(a)\) returns the total labor cost of activity \(a\).
\newline \(\mathit{TC}(a)\) returns the total cost of activity \(a\). \\"
labor-cost-and-total-cost-ratio-case-granularity-c-c	Labor Cost and Total Cost Ratio (case granularity)	C	C	"\(\mathit{LCTCR}\mathit{^{\times}}(c)\) 
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{LC}\mathit{^{\times}}(c)}{\mathit{TC}\mathit{^{\times}}(c)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{LC}\mathit{^{sgl}}$ and $\mathit{TC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{LC}\mathit{^{sum}}$ and $\mathit{TC}\mathit{^{sum}}$."	\(\frac{\mathit{LC}(c)}{\mathit{TC}(c)}\)	"\(\mathit{LC}(c)\) returns the total labor cost of case \(c\).
\newline \(\mathit{TC}(c)\) returns the total cost of case \(c\). \\"
labor-cost-and-total-cost-ratio-group-of-cases-granularity-c-g	Labor Cost and Total Cost Ratio (group of cases granularity)	C	G	"\(\mathit{LCTCR}\mathit{^{\times}}(g)\) 
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{LC}\mathit{^{\times}}(g)}{\mathit{TC}\mathit{^{\times}}(g)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{LC}\mathit{^{sgl}}$ and $\mathit{TC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{LC}\mathit{^{sum}}$ and $\mathit{TC}\mathit{^{sum}}$."	\(\frac{\mathit{LC}(g)}{\mathit{TC}(g)}\)	"\(\mathit{LC}(g)\) returns the total labor cost of case group \(g\).
\newline \(\mathit{TC}(g)\) returns the total cost of case group \(g\). \\"
labor-cost-and-total-cost-ratio-activity-instance-granularity-c-i	Labor Cost and Total Cost Ratio (activity instance granularity)	C	I	"\(\mathit{LCTCR}\mathit{^{\times}}(i)\) 
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{LC}\mathit{^{\times}}(i)}{\mathit{TC}\mathit{^{\times}}(i)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{LC}\mathit{^{sgl}}$ and $\mathit{TC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{LC}\mathit{^{sum}}$ and $\mathit{TC}\mathit{^{sum}}$."	\(\frac{\mathit{LC}(i)}{\mathit{TC}(i)}\)	"\(\mathit{LC}(i)\) returns the labor cost of activity instance \(i\).
\newline \(\mathit{TC}(i)\) returns the total cost of activity instance \(i\). \\"
labor-cost-considering-single-events-of-activity-instances-activity-instance-granularity-c-i	Labor Cost considering single events of activity instances (activity instance granularity)	C	I	\(\mathit{LC}\mathit{^{sgl}}(i)\)	"\(\begin{cases}
\#^{}_{\mathit{lc}}(\mathit{cpl}(i)) & \mathit{if \ } \#^{}_{\mathit{lc}}(\mathit{cpl}(i)) \neq \bot \\
\#^{}_{\mathit{lc}}(\mathit{str}(i)) & \mathit{if \ } \#^{}_{\mathit{lc}}(\mathit{cpl}(i)) = \bot \land \#^{}_{\mathit{lc}}(\mathit{str}(i)) \neq \bot \\
\bot & \mathit{if \ } \#^{}_{\mathit{lc}}(\mathit{cpl}(i)) = \bot \land \#^{}_{\mathit{lc}}(\mathit{str}(i)) = \bot \\
\end{cases}\)"	"\(\begin{cases}
\#^{}_{\mathit{lc}}(\mathit{cpl}(i)) & \mathit{if \ } \#^{}_{\mathit{lc}}(\mathit{cpl}(i)) \neq undefined \\
\#^{}_{\mathit{lc}}(\mathit{str}(i)) & \mathit{if \ } \#^{}_{\mathit{lc}}(\mathit{cpl}(i)) = undefined \land \#^{}_{\mathit{lc}}(\mathit{str}(i)) \neq undefined \\
undefined & \mathit{if \ } \#^{}_{\mathit{lc}}(\mathit{cpl}(i)) = undefined \land \#^{}_{\mathit{lc}}(\mathit{str}(i)) = undefined \\
\end{cases}\)"	"\(\#^{}_{\mathit{lc}}\) returns the labor cost associated with an event.
\newline \(\mathit{cpl}(i)\) returns the completion event of activity instance \(i\).
\newline \(\mathit{str}(i)\) returns the start event of activity instance \(i\). \\"
labor-cost-considering-the-sum-of-all-events-of-activity-instances-activity-instance-granularity-c-i	Labor Cost considering the sum of all events of activity instances (activity instance granularity)	C	I	\(\mathit{LC}\mathit{^{sum}}(i)\)	"\(\begin{cases}
\#^{}_{\mathit{lc}}(\mathit{str}(i)) + & \\ \#^{}_{\mathit{lc}}(\mathit{cpl}(i)) & \mathit{if \ } \#^{}_{\mathit{lc}}(\mathit{cpl}(i)) \neq \bot \land \#^{}_{\mathit{lc}}(\mathit{str}(i)) \neq \bot \\
\bot & \mathit{if \ } \#^{}_{\mathit{lc}}(\mathit{cpl}(i)) = \bot \lor \#^{}_{\mathit{lc}}(\mathit{str}(i)) = \bot \\
\end{cases}\)"	"\(\begin{cases}
\#^{}_{\mathit{lc}}(\mathit{str}(i)) + & \\ \#^{}_{\mathit{lc}}(\mathit{cpl}(i)) & \mathit{if \ } \#^{}_{\mathit{lc}}(\mathit{cpl}(i)) \neq undefined \land \#^{}_{\mathit{lc}}(\mathit{str}(i)) \neq undefined \\
undefined & \mathit{if \ } \#^{}_{\mathit{lc}}(\mathit{cpl}(i)) = undefined \lor \#^{}_{\mathit{lc}}(\mathit{str}(i)) = undefined \\
\end{cases}\)"	"\(\#^{}_{\mathit{lc}}\) returns the labor cost associated with an event.
\newline \(\mathit{str}(i)\) returns the start event of activity instance \(i\).
\newline \(\mathit{cpl}(i)\) returns the completion event of activity instance \(i\). \\"
lead-time-activity-granularity-t-a	Lead Time (activity granularity)	T	A	\(\mathit{LT}(a)\)	\(\sum _{i \in \mathit{inst}(a)} \mathit{LT}(i)\)	\(\sum_{i \in \mathit{inst}(a)} \mathit{LT}(i)\)	"$\mathit{inst}(a)$ returns the set of activity instances that belong to activity $a$.
\newline $\mathit{LT}(i)$ returns the lead time of activity instance $i$.\\"
lead-time-case-granularity-t-c	Lead Time (case granularity)	T	C	\(\mathit{LT}(c)\)	\(\mathit{endt}(c) - \mathit{startt}(c)\)	\(\mathit{endt}(c) - \mathit{startt}(c)\)	"$\mathit{endt}(c)$ returns the end timestamp of case $c$.
\newline $\mathit{startt}(c)$ returns the start timestamp of case $c$.\\"
lead-time-group-of-cases-granularity-t-g	Lead Time (group of cases granularity)	T	G	\(\mathit{LT}(g)\)	\(^{\mathit{max}}_{c \in g} \mathit{endt}(c) - ^{\mathit{min}}_{c \in g} \mathit{startt}(c)\)	\(^{\mathit{max}}_{c \in g} \mathit{endt}(c) - ^{\mathit{min}}_{c \in g} \mathit{startt}(c)\)	"$\mathit{endt}(c)$ returns the end timestamp of case $c$.
\newline $\mathit{startt}(c)$ returns the start timestamp of case $c$.
\newline  $^{\mathit{max}}_{c \in g}$ and $^{\mathit{min}}_{c \in g}$ indicate that the maximum end time and minimum start time are taken across all cases in the group $g$.\\"
lead-time-activity-instance-granularity-t-i	Lead Time (activity instance granularity)	T	I	\(\mathit{LT}(i)\)	\(\mathit{ST}(i) + \mathit{WT}(i)\)	\(\mathit{ST}(i) + \mathit{WT}(i)\)	"$\mathit{ST}(i)$ returns the service time of activity instance $i$, representing the time between its start and completion.
\newline $\mathit{WT}(i)$ returns the waiting time of activity instance $i$, representing the idle period before the instance starts execution.\\"
lead-time-and-case-count-ratio-group-of-cases-granularity-t-g	Lead Time and Case count Ratio (group of cases granularity)	T	G	\(\mathit{LTCR}(g)\)	\(\frac{\mathit{LT}(g)}{\mathit{C}(g)}\)	\(\frac{\mathit{LT}(g)}{\mathit{C}(g)}\)	"$\mathit{LT}(g)$ returns the total lead time of group $g$.
\newline $\mathit{C}(g)$ returns the total number of cases in group $g$.\\"
lead-time-deviation-from-expectation-case-granularity-t-c	Lead Time Deviation from Expectation (case granularity)	T	C	\(\mathit{LTDE}(c, \mathit{val})\)	\(|\mathit{val} - \mathit{LT}(c)|\)	\(|val - \mathit{LT}(c)|\)	"\ $val$ represents the expected time value.
\newline $\mathit{LT}(c)$ returns the lead time of case $c$.\\"
lead-time-deviation-from-time-limit-case-granularity-t-c	Lead Time Deviation from time Limit (case granularity)	T	C	\(\mathit{LTDL}(c, \mathit{val})\)	\(\mathit{val} - \mathit{LT}(c)\)	\(val - \mathit{LT}(c)\)	"$\mathit{LT}(c)$ returns the lead time of case $c$.
\newline $val$ represents the predefined time Limit for the case.
\newline The expression $|val - \mathit{LT}(c)|$ measures the absolute deviation of the case lead time from its deadline.\\"
lead-time-from-activity-a-case-granularity-t-c	Lead Time from activity A (case granularity)	T	C	\(\mathit{LTfA}(c, \mathit{a})\)	"\(\begin{cases}
\mathit{lt}(x, y) & \mathit{for~any \ } x \in \mathit{fi}\mathit{^{s}}(c, \mathit{a}) \mathit{\ and \ } y \in \mathit{endin}(c) \\ \bot & \mathit{if \ } \mathit{fi}\mathit{^{s}}(c, \mathit{a}) = \emptyset
\end{cases}\)"	"\(\begin{cases}
\mathit{lt}(any (\mathit{fi}\mathit{^{s}}(c, \mathit{a}), any (\mathit{endin}(c))) & \mathit{if \ } \mathit{fi}\mathit{^{s}}(c, \mathit{a}) \neq \emptyset \\
undefined & \mathit{if \ } \mathit{fi}\mathit{^{s}}(c, \mathit{a}) = \emptyset
\end{cases}\)"	"$\mathit{fi}\mathit{^{s}}(c, \mathit{a})$ returns the set of first started instances of activity $\mathit{a}$ in case $c$.
\newline $\mathit{endin}(c)$ returns the final activity instance of case $c$.
\newline $\mathit{lt}(x, y)$ returns the lead time from activity instance $x$ to $y$.\\"
lead-time-from-activity-a-to-activity-b-case-granularity-t-c	Lead Time from activity A to activity B (case granularity)	T	C	\(\mathit{LTAB}(c, \mathit{a}, \mathit{b})\)	"\(\begin{cases}
\mathit{lt}(x,y) & \mathit{for~any \ } x \in \mathit{fi}\mathit{^{s}}(c, \mathit{a}) \mathit{\ and \ } y \in \mathit{fi}\mathit{^{sc}}(c, \mathit{a}, \mathit{b}) \\
\bot & \mathit{if \ } \mathit{fi}\mathit{^{sc}}(c, \mathit{a}, \mathit{b}) = \emptyset
\end{cases}\)"	"\(\begin{cases}
\mathit{lt}(x,y) & \mathit{for~any \ } x \in \mathit{fi}\mathit{^{s}}(c, \mathit{a}) \mathit{\ and \ } y \in \mathit{fi}(c, \mathit{a}, \mathit{b}) \\
undefined & \mathit{if \ } \mathit{fi}(c, \mathit{a}, \mathit{b}) = \emptyset
\end{cases}\)"	"$\mathit{fi}\mathit{^{s}}(c, \mathit{a})$ returns the set of first started instances of activity $\mathit{a}$ in case $c$.
\newline $\mathit{fi}(c, \mathit{a}, \mathit{b})$ returns the first instance of activity $\mathit{b}$ occurring after the first started instance of activity $\mathit{a}$ in case $c$.
\newline $\mathit{lt}(x,y)$ returns the lead time between activity instances $x$ and $y$.\\"
lead-time-to-activity-a-case-granularity-t-c	Lead Time to activity A (case granularity)	T	C	\(\mathit{LTtA}(c, \mathit{a})\)	"\(\begin{cases}
\mathit{lt}(x, y) & \mathit{for~any \ } x \in \mathit{strin}(c) \mathit{\ and \ } y \in \mathit{fi}\mathit{^{c}}(c, \mathit{a}) \\ \bot & \mathit{if \ } \mathit{fi}\mathit{^{c}}(c, \mathit{a}) = \emptyset
\end{cases}\)"	"\(\begin{cases}
\mathit{lt}(x, y) & \mathit{for~any \ } x \in \mathit{strin}(c) \mathit{\ and \ } y \in \mathit{fi}\mathit{^{c}}(c, \mathit{a}) \\
undefined & \mathit{if \ } \mathit{fi}\mathit{^{c}}(c, \mathit{a}) = \emptyset
\end{cases}\)"	"$\mathit{strin}(c)$ returns the activity instance that starts case $c$.
\newline $\mathit{fi}\mathit{^{c}}(c, \mathit{a})$ returns the first completed instance of activity $\mathit{a}$ in case $c$.
\newline $\mathit{lt}(x, y)$ returns the lead time between activity instances $x$ and $y$.\\"
maintenance-cost-case-granularity-c-c	Maintenance Cost (case granularity)	C	C	\(\mathit{MainC}(c)\)	\(\#^{}_{\mathit{mainc}}(c)\)	\(\#^{}_{\mathit{mainc}}(c)\)	\(\#^{}_{\mathit{mainc}}\) returns the maintenance cost associated with case \(c\). \\
maintenance-cost-group-of-cases-granularity-c-g	Maintenance Cost (group of cases granularity)	C	G	\(\mathit{MainC}(g)\)	\(\sum _{c \in g} \mathit{MainC}(c)\)	\(\sum _{c \in g} \mathit{MainC}(c)\)	\(\mathit{MainC}(c)\) returns the maintenance cost for case \(c\). \\
missed-deadline-cost-case-granularity-c-c	Missed Deadline Cost (case granularity)	C	C	\(\mathit{MDC}(c)\)	\(\#^{}_{\mathit{mdc}}(c)\)	\(\#^{}_{\mathit{mdc}}(c)\)	\(\#^{}_{\mathit{mdc}}\) returns the missed deadline cost associated with case \(c\). \\
missed-deadline-cost-group-of-cases-granularity-c-g	Missed Deadline Cost (group of cases granularity)	C	G	\(\mathit{MDC}(g)\)	\(\sum _{c \in g} \mathit{MDC}(c)\)	\(\sum _{c \in g} \mathit{MDC}(c)\)	\(\mathit{MDC}(c)\) returns the missed deadline cost for case \(c\). \\
non-automated-activity-count-case-granularity-q-c	Non-Automated Activity count (case granularity)	Q	C	\(\mathit{NAutA}(c)\)	\(|\mathit{act}(c) \backslash \mathit{Autl}|\)	"\(\displaystyle \sum_{a \in \mathit{act}(c)}
\begin{cases}
1 & \text{if } a \notin \mathit{Autl} \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{act}(c)\) returns the set of activities that occurred in case \(c\).
\newline \(\mathit{Autl}\) returns the set of automated activities. \\"
non-automated-activity-count-group-of-cases-granularity-q-g	Non-Automated Activity count (group of cases granularity)	Q	G	\(\mathit{NAutA}(g)\)	\(|(\cup _{c \in g} \mathit{act}(c)) \backslash \mathit{Autl}|\)	"\(\displaystyle \sum_{a \in (\cup _{c \in g} \mathit{act}(c))}
\begin{cases}
1 & \text{if } a \notin \mathit{Autl} \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{act}(c)\) returns the set of activities that occurred in case \(c\).
\newline \(\mathit{Autl}\) returns the set of automated activities. \\"
non-automated-activity-instance-count-case-granularity-q-c	Non-Automated activity Instance count (case granularity)	Q	C	\(\mathit{NAutI}(c)\)	\(|\{i \in \mathit{inst}(c) \mid \mathit{act}(i) \notin \mathit{Autl}\}|\)	"\(\displaystyle \sum_{i \in \mathit{inst}(c)}
\begin{cases}
1 & \text{if } \mathit{act}(i) \notin \mathit{Autl} \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{inst}(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{act}(i)\) returns the activity of activity instance \(i\).
\newline \(\mathit{Autl}\) returns the set of automated activities. \\"
non-automated-activity-instance-count-group-of-cases-granularity-q-g	Non-Automated activity Instance count (group of cases granularity)	Q	G	\(\mathit{NAutI}(g)\)	\(\sum _{c \in g} \mathit{NAutI}(c)\)	\(\sum _{c \in g} \mathit{NAutI}(c)\)	\(\mathit{NAutI}(c)\) returns the non-automated activity instance count for case \(c\). \\
optional-activity-count-case-granularity-f-c	Optional Activity count (case granularity)	F	C	\(\mathit{OptA}(c)\)	\(|\{a \in \mathit{act}(c) \mid \exists c' \in C[a \notin \mathit{act}(c')]\}|\)	"\(\displaystyle \sum_{a \in \mathit{act}(c)}
\begin{cases}
1 & \text{if } a \in \mathit{opt}(C) \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{act}(c)\) returns the set of activities that occurred in case \(c\).
\newline \(\mathit{opt}(C)\) returns the set of optional activities in the event log \(C\). \\"
optional-activity-count-group-of-cases-granularity-f-g	Optional Activity count (group of cases granularity)	F	G	\(\mathit{OptA}(g)\)	\(|\{a \in \mathit{act}(c) \mid c \in g \land \exists c' \in C[a \notin \mathit{act}(c')]\}|\)	"\(\displaystyle \sum_{a \in \mathit{act}(g)}
\begin{cases}
1 & \text{if } a \in \mathit{opt}(C) \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{act}(c)\) returns the set of activities that occurred in case \(c\).
\newline \(\mathit{opt}(C)\) returns the set of optional activities in the event log \(C\). \\"
optionality-case-granularity-f-c	Optionality (case granularity)	F	C	\(\mathit{Opt}(c)\)	\(\frac{\mathit{OptA}(c)}{\mathit{A}(c)}\)	\(\frac{\mathit{OptA}(c)}{\mathit{A}(c)}\)	"\(\mathit{OptA}(c)\) returns the optional activity count for case \(c\).
\newline \(\mathit{A}(c)\) returns the number of unique activities in case \(c\). \\"
optionality-group-of-cases-granularity-f-g	Optionality (group of cases granularity)	F	G	\(\mathit{Opt}(g)\)	\(\frac{\mathit{OptA}(g)}{\mathit{A}(g)}\)	\(\frac{\mathit{OptA}(g)}{\mathit{A}(g)}\)	"\(\mathit{OptA}(g)\) returns the optional activity count for group \(g\).
\newline \(\mathit{A}(g)\) returns the number of unique activities in group \(g\). \\"
outcome-unit-count-activity-granularity-q-a	outcome Unit count (activity granularity)	Q	A	"\(\mathit{U}\mathit{^{\times}}(a)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\sum _{i \in \mathit{inst}(a)} \mathit{U}\mathit{^{\times}}(i)\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for outcome unit calculations, i.e., it uses $\mathit{U}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for outcome unit calculations, i.e., it uses $\mathit{U}\mathit{^{sum}}$."	\(\sum _{i \in \mathit{inst}(a)} \mathit{U}(i)\)	"\(\mathit{inst}(a)\) returns the set of all instances of activity \(a\).
\newline \(\mathit{U}(i)\) returns the outcome unit count of activity instance \(i\). \\"
outcome-unit-count-case-granularity-q-c	outcome Unit count (case granularity)	Q	C	"\(\mathit{U}\mathit{^{\times}}(c)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\sum _{e \in \mathit{inst}(c)} \mathit{U}\mathit{^{\times}}(i)\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for outcome unit calculations, i.e., it uses $\mathit{U}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for outcome unit calculations, i.e., it uses $\mathit{U}\mathit{^{sum}}$."	\(\sum _{i \in \mathit{inst}(c)} \mathit{U}(i)\)	"\(\mathit{inst}(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{U}(i)\) returns the outcome unit count of activity instance \(i\). \\"
outcome-unit-count-group-of-cases-granularity-q-g	outcome Unit count (group of cases granularity)	Q	G	"\(\mathit{U}\mathit{^{\times}}(g)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\sum _{c \in g} \mathit{U}\mathit{^{\times}}(c)\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for outcome unit calculations, i.e., it uses $\mathit{U}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for outcome unit calculations, i.e., it uses $\mathit{U}\mathit{^{sum}}$."	\(\sum _{c \in g} \mathit{U}(c)\)	\(\mathit{U}(c)\) returns the outcome unit count of case \(c\). \\
outcome-unit-count-considering-single-events-of-activity-instances-activity-instance-granularity-q-i	outcome Unit count considering single events of activity instances (activity instance granularity)	Q	I	\(\mathit{U}\mathit{^{sgl}}(i)\)	"\(\begin{cases}
\#^{}_{\mathit{unt}}(\mathit{cpl}(i)) & \mathit{if \ } \#^{}_{\mathit{unt}}(\mathit{cpl}(i)) \neq \bot \\
\#^{}_{\mathit{unt}}(\mathit{str}(i)) & \mathit{if \ } \#^{}_{\mathit{unt}}(\mathit{cpl}(i)) = \bot \land \\ & \#^{}_{\mathit{unt}}(\mathit{str}(i)) \neq \bot \\
\bot & \mathit{if \ } \#^{}_{\mathit{unt}}(\mathit{cpl}(i)) = \bot \land \\ & \#^{}_{\mathit{unt}}(\mathit{str}(i)) = \bot \\
\end{cases}\)"	"\(\begin{cases}
\#^{}_{\mathit{unt}}(\mathit{cpl}(i)) & \mathit{if \ } \#^{}_{\mathit{unt}}(\mathit{cpl}(i)) \neq undefined \\
\#^{}_{\mathit{unt}}(\mathit{str}(i)) & \mathit{if \ } \#^{}_{\mathit{unt}}(\mathit{cpl}(i)) = undefined \land \#^{}_{\mathit{unt}}(\mathit{str}(i)) \neq undefined \\
undefined & \mathit{if \ } \#^{}_{\mathit{unt}}(\mathit{cpl}(i)) = undefined \land \#^{}_{\mathit{unt}}(\mathit{str}(i)) = undefined \\
\end{cases}\)"	"\(\#^{}_{\mathit{unt}}\) returns the outcome unit count associated with an event.
\newline \(\mathit{cpl}(i)\) returns the completion event of activity instance \(i\).
\newline \(\mathit{str}(i)\) returns the start event of activity instance \(i\). \\"
outcome-unit-count-considering-the-sum-of-all-events-of-activity-instances-activity-instance-granularity-q-i	outcome Unit count considering the sum of all events of activity instances (activity instance granularity)	Q	I	\(\mathit{U}\mathit{^{sum}}(i)\)	"\(\begin{cases}
\#^{}_{\mathit{unt}}(\mathit{str}(i)) + & \mathit{if \ } \#^{}_{\mathit{unt}}(\mathit{cpl}(i)) \neq \bot \land \\ \#^{}_{\mathit{unt}}(\mathit{cpl}(i)) & \#^{}_{\mathit{unt}}(\mathit{str}(i)) \neq \bot \\
\bot & \mathit{if \ } \#^{}_{\mathit{unt}}(\mathit{cpl}(i)) = \bot \lor \\ & \#^{}_{\mathit{unt}}(\mathit{str}(i)) = \bot \\
\end{cases}\)"	"\(\begin{cases}
\#^{}_{\mathit{unt}}(\mathit{str}(i)) + \#^{}_{\mathit{unt}}(\mathit{cpl}(i)) & \mathit{if \ } \#^{}_{\mathit{unt}}(\mathit{cpl}(i)) \neq undefined \land \\ & \#^{}_{\mathit{unt}}(\mathit{str}(i)) \neq undefined \\
undefined & \mathit{if \ } \#^{}_{\mathit{unt}}(\ \mathit{cpl}(i)) = undefined \lor \#^{}_{\mathit{unt}}(\mathit{str}(i)) = undefined \\
\end{cases}\)"	"\(\#^{}_{\mathit{unt}}\) returns the outcome unit count associated with an event.
\newline \(\mathit{str}(i)\) returns the start event of activity instance \(i\).
\newline \(\mathit{cpl}(i)\) returns the completion event of activity instance \(i\). \\"
overall-quality-case-granularity-q-c	Overall Quality (case granularity)	Q	C	\(\mathit{OQ}(c)\)	\(\#^{}_{\mathit{qual}}(c)\)	\(\#^{}_{\mathit{qual}}(c)\)	\(\#^{}_{\mathit{qual}}\) returns the overall quality associated with case \(c\). \\
